id,category,severity,title,location,issue,recommendation,ai_prompt
SEC-001,Security,Critical,Hardcoded Flask secret key fallback,"app.py:22", "app.secret_key = os.environ.get('FLASK_SECRET_KEY', 'ss-crawler-dev-secret-change-me')" — if FLASK_SECRET_KEY is not set in production, the app falls back to a publicly-known string. Anyone who reads the repo can forge session cookies.,"Fail-fast on missing secret in non-DEBUG; require a strong random secret (>=32 bytes) in production. Remove the literal default.","Refactor the secret key handling in app.py so that the application refuses to start (or at minimum logs a loud error) when FLASK_SECRET_KEY is not set in production. Keep the dev fallback only when app.config['DEBUG'] is True. Generate the secret using secrets.token_hex(32) for documentation and add a sample .env.example. Do not introduce any new hardcoded literal."
SEC-002,Security,High,Debug mode + bind to 0.0.0.0 in production entrypoint,"app.py:10453; start_server.py:9-11", "app.run(debug=True, host='0.0.0.0', port=5000)" and start_server.py also runs with debug=True. Debug mode exposes the Werkzeug debugger (RCE risk if PIN leaks) and is reachable from any interface.,"Read DEBUG from env; default to False. Bind to 127.0.0.1 unless behind a reverse proxy. Provide a separate gunicorn/uwsgi command for production.","Modify app.py and start_server.py so debug mode and the host binding are derived from environment variables (e.g. FLASK_DEBUG, FLASK_HOST, FLASK_PORT). Default FLASK_DEBUG to false. Document the production launch command using gunicorn -w 4 -b 127.0.0.1:5000 app:app. Never enable the Werkzeug debugger outside local dev."
SEC-003,Security,High,No rate limiting on /login and auth endpoints,"app.py:10012-10025", Login has no rate limiting, no account lockout, and no captcha. Combined with bcrypt verification this is brute-forceable.,"Add flask-limiter with a strict window (e.g. 5/min and 20/hour per IP+username). Add exponential backoff after N failures. Consider TOTP/email-OTP for high-value accounts.","Introduce flask-limiter to the project. Apply a 5-per-minute and 20-per-hour rate limit to /login and /api/auth/*. After 5 failed logins for a single username within 15 minutes, temporarily lock the account (is_locked_until column or in-memory bucket). Log every failed attempt with IP and username. Add a unit test that simulates 6 failed logins and asserts the 6th returns 429."
SEC-004,Security,High,No CSRF protection on POST/PUT/DELETE,"app.py (all POST routes incl. /api/update-match, /api/flag-listing, /api/admin/*, /api/project-board/*, /api/profile)", Flask session is used (flask_session) but no CSRF token is enforced. An attacker page can submit forms to the same domain and modify board/flag content on behalf of a logged-in admin.,"Add flask-wtf/CSRFProtect. Generate a token in base.html and require it on every state-changing request (or on the session cookie origin + SameSite=Strict). For pure JSON APIs that require Authorization header, that's already safe; for cookie-auth JSON endpoints, add the token.","Add Flask-WTF and initialize CSRFProtect(app) in app.py. Generate a csrf_token() in the context processor and render it in a meta tag in base.html. Send it as X-CSRFToken header from every fetch(). Apply the CSRF exemption only to endpoints that already require Authorization Bearer tokens. Add a test that confirms a cross-origin POST without a valid token returns 400."
SEC-005,Security,High,Session cookie missing Secure flag and SameSite is Lax,"app.py:10024", "resp.set_cookie('session_token', token, httponly=True, samesite='Lax', max_age=...)" — the cookie lacks the Secure flag, so it will be sent over plain HTTP if a reverse proxy misroutes traffic. Lax is acceptable but Strict would be safer for an internal dashboard.,"Set Secure=True whenever the request is HTTPS or when not in DEBUG. Prefer samesite='Strict' for first-party admin apps.","Update the login() handler to set the session cookie with secure=request.is_secure, httponly=True, samesite='Strict', and max_age=60*60*24*30. Make sure the logout endpoint clears the cookie with the same flags. Add a regression test that issues a login over HTTPS and asserts the Set-Cookie header includes Secure and SameSite=Strict."
SEC-006,Security,High,No security response headers (CSP, X-Frame-Options, X-Content-Type-Options, Referrer-Policy),"app.py (no after_request hook)", The app returns no CSP, no frame-busting header, no nosniff, no referrer policy. Stored XSS in any admin-editable surface (e.g. wiki, project board) can be framed or used to exfiltrate data.,"Add a Flask after_request hook that sets: Content-Security-Policy (default-src 'self'; script-src 'self' 'unsafe-inline' for the inline bootstrap; style-src 'self' 'unsafe-inline'; img-src 'self' data:; frame-ancestors 'none'), X-Frame-Options: DENY, X-Content-Type-Options: nosniff, Referrer-Policy: strict-origin-when-cross-origin, Permissions-Policy minimal.","Create an @app.after_request hook in app.py that injects Content-Security-Policy, X-Frame-Options=DENY, X-Content-Type-Options=nosniff, Referrer-Policy=strict-origin-when-cross-origin, and a tight Permissions-Policy. Skip the CSP for /api/* if a stricter one is needed later. Verify with curl -I that the headers are present."
SEC-007,Security,High,Wiki markdown rendered without safe_mode / HTML sanitization,"app.py:10431-10449; templates/wiki.html:90", Python-markdown is used without extensions=['sane_lists'] and without safe_mode=True. Markdown allows raw HTML by default, and the result is inserted with `| safe`. An admin who edits the .md file (or anyone who can write to it through compromised file access) can inject <script> tags.,"Render markdown with safe_mode='escape' (or use the 'pymdownx.escape' sequence) and additionally sanitize via bleach before passing to the template. Consider switching to markdown-it-py with html=False.","Wrap the wiki render step in app.py with a sanitization pass. Use bleach.clean(html_content, tags=ALLOWED_TAGS, attributes=ALLOWED_ATTRS, strip=True) where ALLOWED_TAGS excludes <script>, <iframe>, <object>, <embed>, <style>, <link>, and on* attributes. Pass the cleaned HTML to the template. Add a test that injects <script>alert(1)</script> in the wiki markdown and asserts the output does not contain the script tag."
SEC-008,Security,Medium,Image serving has no extension/MIME validation,"app.py:269-395; route /images/<path:filename>", send_from_directory serves any file extension. The IMAGE_FOLDERS values are hard-coded absolute Windows paths, so symlink/case-sensitivity issues are not exploitable, but a poisoned image (e.g. .html served as text/html) could enable stored XSS if the file extension is misnamed. Also there is no cache-control for the listing thumbnails (cost: speed).,"Whitelist extensions in serve_image (only jpg, jpeg, png, webp, gif, avif). Strip any non-whitelisted extension. Set Cache-Control: public, max-age=86400 for /images/* responses.","Modify serve_image in app.py to: (1) extract the file extension from actual_filename, (2) reject any extension not in {'jpg','jpeg','png','webp','gif','avif'} with 404, (3) use Flask's send_from_directory with conditional=True for ETag/304 support, (4) set max-age=86400 in the response. Add a test that requests /images/foo.html and asserts 404."
SEC-009,Security,Medium,Database credentials in source,"app.py:78-84", DB_CONFIG has hardcoded username/password defaults ('crawler', 'crawler_pass'). If env vars are missing, the app silently uses weak creds.,"Refuse to start when DATABASE_PASSWORD is not set, except in DEBUG. Add DB_SSLMODE=require to the connection params for non-localhost hosts.","Modify DB_CONFIG in app.py so it requires DATABASE_PASSWORD and DATABASE_USER from env vars in production, and logs a loud warning if it falls back to defaults. Add 'sslmode': os.environ.get('DATABASE_SSLMODE','prefer') to the connection dict. Document the required env vars in a .env.example."
SEC-010,Security,Medium,No HTTPS enforcement / HSTS,"app.py (no Strict-Transport-Security)", Nothing in the app redirects HTTP to HTTPS or sets HSTS. Sensitive admin endpoints can be hit over plain HTTP on a misconfigured proxy.,"Add a Talisman-style setup (force HTTPS in non-DEBUG) and set Strict-Transport-Security: max-age=31536000; includeSubDomains.","Add an @app.before_request hook (or a small middleware) that, when not app.debug and not request.is_secure, redirects to the same URL with https://. Set Strict-Transport-Security on every response in production. Skip for /api/* if appropriate, but for the admin and profile pages, force HTTPS."
