2026-06-24 16:09:26 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-06-24 16:09:27 | INFO     | ss_crawler | [download_missing_matched_images] Found 191 matched ss.com listings without images; processing 5 in this run.
2026-06-24 16:09:27 | INFO     | ss_crawler | [download_missing_matched_images] [DRY-RUN] Would download image for ccxcb (camera): https://i.ss.com/gallery/8/1499/374593/photo-optics-digital-cameras-sony-74918539.t.jpg
2026-06-24 16:09:27 | INFO     | ss_crawler | [download_missing_matched_images] [DRY-RUN] Would download image for bfmpkx (camera): https://i.ss.com/gallery/8/1506/376483/photo-optics-slr-cameras-canon-75296577.t.jpg
2026-06-24 16:09:27 | INFO     | ss_crawler | [download_missing_matched_images] [DRY-RUN] Would download image for bfhpcg (camera): https://i.ss.com/gallery/8/1506/376479/photo-optics-slr-cameras-canon-75295755.t.jpg
2026-06-24 16:09:27 | INFO     | ss_crawler | [download_missing_matched_images] [DRY-RUN] Would download image for bffnko (camera): https://i.ss.com/gallery/8/1495/373545/photo-optics-slr-cameras-canon-74708874.t.jpg
2026-06-24 16:09:27 | INFO     | ss_crawler | [download_missing_matched_images] [DRY-RUN] Would download image for bfhxjl (camera): https://i.ss.com/gallery/8/1501/375173/photo-optics-slr-cameras-canon-75034460.t.jpg
2026-06-24 16:09:27 | INFO     | ss_crawler | [download_missing_matched_images] Run complete: processed=5, downloaded=0, failed=0
2026-06-24 16:09:30 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-06-24 16:09:31 | INFO     | ss_crawler | [download_missing_matched_images] Found 191 matched ss.com listings without images; processing 3 in this run.
2026-06-24 16:09:31 | INFO     | ss_crawler | [image_downloader] Downloaded image for ccxcb (stored as ccxcb_8ac5ff77.jpg)
2026-06-24 16:09:31 | INFO     | ss_crawler | [download_missing_matched_images] Downloaded image for ccxcb -> cameras\ccxcb_8ac5ff77.jpg
2026-06-24 16:09:31 | INFO     | ss_crawler | [image_downloader] Downloaded image for bfmpkx (stored as bfmpkx_b5e70ac7.jpg)
2026-06-24 16:09:31 | INFO     | ss_crawler | [download_missing_matched_images] Downloaded image for bfmpkx -> cameras\bfmpkx_b5e70ac7.jpg
2026-06-24 16:09:31 | INFO     | ss_crawler | [image_downloader] Downloaded image for bfhpcg (stored as bfhpcg_338927e0.jpg)
2026-06-24 16:09:31 | INFO     | ss_crawler | [download_missing_matched_images] Downloaded image for bfhpcg -> cameras\bfhpcg_338927e0.jpg
2026-06-24 16:09:31 | INFO     | ss_crawler | [download_missing_matched_images] Run complete: processed=3, downloaded=3, failed=0
2026-06-24 19:22:30 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-06-24 19:22:30 | INFO     | ss_crawler | [download_missing_matched_images] Found 188 matched ss.com listings without images; processing 5 in this run.
2026-06-24 19:22:30 | INFO     | ss_crawler | [download_missing_matched_images] [DRY-RUN] Would download image for dhlem (camera): https://i.ss.com/gallery/8/1502/375390/photo-optics-digital-cameras-canon-75077883.t.jpg
2026-06-24 19:22:30 | INFO     | ss_crawler | [download_missing_matched_images] [DRY-RUN] Would download image for gbnbx (camera): https://i.ss.com/gallery/8/1478/369255/photo-optics-digital-cameras-sony-73850815.t.jpg
2026-06-24 19:22:30 | INFO     | ss_crawler | [download_missing_matched_images] [DRY-RUN] Would download image for fkmdh (camera): https://i.ss.com/gallery/8/1506/376340/photo-optics-digital-cameras-canon-75267825.t.jpg
2026-06-24 19:22:30 | INFO     | ss_crawler | [download_missing_matched_images] [DRY-RUN] Would download image for mdexl (camera): https://i.ss.com/gallery/8/1506/376282/photo-optics-digital-cameras-sony-75256391.t.jpg
2026-06-24 19:22:30 | INFO     | ss_crawler | [download_missing_matched_images] [DRY-RUN] Would download image for cgnkl (camera): https://i.ss.com/gallery/8/1505/376212/photo-optics-digital-cameras-canon-75242346.t.jpg
2026-06-24 19:22:30 | INFO     | ss_crawler | [download_missing_matched_images] Run complete: processed=5, downloaded=0, failed=0
2026-06-24 19:23:26 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-06-24 19:23:26 | INFO     | ss_crawler | [download_missing_matched_images] Found 188 matched ss.com listings without images; processing 5 in this run.
2026-06-24 19:23:26 | INFO     | ss_crawler | [image_downloader] Downloaded image for dhlem (stored as dhlem_1a44fe71.jpg)
