2026-06-26 18:31:13 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-06-26 18:31:13 | INFO     | ss_crawler | [fetch_missing_images] Found 0 listings without image_url and 33 thumbnail URLs to upgrade; processing 33 in this run.
2026-06-26 18:31:14 | INFO     | ss_crawler | [fetch_missing_images] Upgrading thumbnail for hxnom: https://i.ss.com/gallery/7/1204/300965/computers-completing-pc-cpu-60192856.t.jpg -> https://i.ss.com/gallery/7/1204/300965/computers-completing-pc-cpu-60192856.800.jpg
2026-06-26 18:31:14 | INFO     | ss_crawler | [image_downloader] Downloaded image for hxnom (stored as hxnom_e6735e89.jpg)
2026-06-26 18:31:14 | INFO     | ss_crawler | [fetch_missing_images] Downloaded image for hxnom -> hxnom_e6735e89.jpg
2026-06-26 18:31:14 | INFO     | ss_crawler | [fetch_missing_images] Upgrading thumbnail for hdkkj: https://i.ss.com/gallery/6/1036/258812/computers-completing-pc-cpu-51762280.t.jpg -> https://i.ss.com/gallery/6/1036/258812/computers-completing-pc-cpu-51762280.800.jpg
2026-06-26 18:31:14 | INFO     | ss_crawler | [image_downloader] Downloaded image for hdkkj (stored as hdkkj_b41c0da5.jpg)
2026-06-26 18:31:14 | INFO     | ss_crawler | [fetch_missing_images] Downloaded image for hdkkj -> hdkkj_b41c0da5.jpg
2026-06-26 18:31:15 | INFO     | ss_crawler | [fetch_missing_images] Upgrading thumbnail for fnfhp: https://i.ss.com/gallery/8/1430/357418/computers-completing-pc-cpu-71483510.t.jpg -> https://i.ss.com/gallery/8/1430/357418/computers-completing-pc-cpu-71483510.800.jpg
2026-06-26 18:31:15 | INFO     | ss_crawler | [image_downloader] Downloaded image for fnfhp (stored as fnfhp_69a1c750.jpg)
2026-06-26 18:31:15 | INFO     | ss_crawler | [fetch_missing_images] Downloaded image for fnfhp -> fnfhp_69a1c750.jpg
2026-06-26 18:31:16 | INFO     | ss_crawler | [fetch_missing_images] Upgrading thumbnail for pjlmb: https://i.ss.com/gallery/8/1496/373982/computers-completing-pc-cpu-74796202.t.jpg -> https://i.ss.com/gallery/8/1496/373982/computers-completing-pc-cpu-74796202.800.jpg
2026-06-26 18:31:16 | INFO     | ss_crawler | [image_downloader] Downloaded image for pjlmb (stored as pjlmb_2dbdbe18.jpg)
2026-06-26 18:31:16 | INFO     | ss_crawler | [fetch_missing_images] Downloaded image for pjlmb -> pjlmb_2dbdbe18.jpg
2026-06-26 18:31:16 | INFO     | ss_crawler | [fetch_missing_images] Upgrading thumbnail for mjffp: https://i.ss.com/gallery/8/1496/373890/computers-completing-pc-cpu-74777978.t.jpg -> https://i.ss.com/gallery/8/1496/373890/computers-completing-pc-cpu-74777978.800.jpg
2026-06-26 18:31:16 | INFO     | ss_crawler | [image_downloader] Downloaded image for mjffp (stored as mjffp_332412e9.jpg)
2026-06-26 18:31:16 | INFO     | ss_crawler | [fetch_missing_images] Downloaded image for mjffp -> mjffp_332412e9.jpg
2026-06-26 18:31:17 | INFO     | ss_crawler | [fetch_missing_images] Upgrading thumbnail for nbbkn: https://i.ss.com/gallery/7/1365/341023/computers-completing-pc-cpu-68204473.t.jpg -> https://i.ss.com/gallery/7/1365/341023/computers-completing-pc-cpu-68204473.800.jpg
2026-06-26 18:31:17 | INFO     | ss_crawler | [image_downloader] Downloaded image for nbbkn (stored as nbbkn_1a6c7056.jpg)
2026-06-26 18:31:17 | INFO     | ss_crawler | [fetch_missing_images] Downloaded image for nbbkn -> nbbkn_1a6c7056.jpg
2026-06-26 18:31:18 | INFO     | ss_crawler | [fetch_missing_images] Upgrading thumbnail for hifej: https://i.ss.com/gallery/7/1204/300965/computers-completing-pc-cpu-60192871.t.jpg -> https://i.ss.com/gallery/7/1204/300965/computers-completing-pc-cpu-60192871.800.jpg
2026-06-26 18:31:18 | INFO     | ss_crawler | [image_downloader] Downloaded image for hifej (stored as hifej_defa9019.jpg)
2026-06-26 18:31:18 | INFO     | ss_crawler | [fetch_missing_images] Downloaded image for hifej -> hifej_defa9019.jpg
2026-06-26 18:31:18 | INFO     | ss_crawler | [fetch_missing_images] Upgrading thumbnail for fgegn: https://i.ss.com/gallery/8/1498/374275/computers-completing-pc-cpu-74854920.t.jpg -> https://i.ss.com/gallery/8/1498/374275/computers-completing-pc-cpu-74854920.800.jpg
2026-06-26 18:31:18 | INFO     | ss_crawler | [image_downloader] Downloaded image for fgegn (stored as fgegn_1b3937f5.jpg)
2026-06-26 18:31:18 | INFO     | ss_crawler | [fetch_missing_images] Downloaded image for fgegn -> fgegn_1b3937f5.jpg
2026-06-26 18:31:19 | INFO     | ss_crawler | [fetch_missing_images] Upgrading thumbnail for fjnll: https://i.ss.com/gallery/8/1499/374530/computers-completing-pc-cpu-74905866.t.jpg -> https://i.ss.com/gallery/8/1499/374530/computers-completing-pc-cpu-74905866.800.jpg
2026-06-26 18:31:19 | INFO     | ss_crawler | [image_downloader] Downloaded image for fjnll (stored as fjnll_04ee999f.jpg)
2026-06-26 18:31:19 | INFO     | ss_crawler | [fetch_missing_images] Downloaded image for fjnll -> fjnll_04ee999f.jpg
2026-06-26 18:31:20 | INFO     | ss_crawler | [fetch_missing_images] Upgrading thumbnail for ffjli: https://i.ss.com/gallery/8/1499/374573/computers-completing-pc-cpu-74914517.t.jpg -> https://i.ss.com/gallery/8/1499/374573/computers-completing-pc-cpu-74914517.800.jpg
2026-06-26 18:31:20 | INFO     | ss_crawler | [image_downloader] Downloaded image for ffjli (stored as ffjli_ae3bb7d0.jpg)
